"Harapan_Lama_Sekolah","Pengeluaran_Perkapita","Rerata_Lama_Sekolah","Usia_Harapan_Hidup","IPM"
"16:03","14108","11:08","70:02:00","Very-High"
"0.55069444444444","10038","8:08","70.73","Normal"
"12:26","9969","8:07","67.65","Normal"
"12:19","9266","7:34","68.67","Normal"
"12:52","9931","7:07","69:42:00","Normal"
"0.55972222222222","10026","0.34513888888889","70.78","Normal"
"0.56458333333333","11259","7:59","69.87","High"
"12:49","8737","8:34","69:03:00","Normal"
"12:37","9173","0.34097222222222","69:46:00","Normal"
"0.52430555555556","10735","7:55","70:01:00","Normal"
"12:59","7934","0.34097222222222","69:15:00","Normal"
"0.55833333333333","10302","8:39","70:27:00","High"
"0.50277777777778","7980","7:08","68:26:00","Normal"
"12:06","8422","7:39","70:03:00","Normal"
"12","8533","8:19","63.66","Normal"
"14:07","12247","0.48263888888889","71:42:00","High"
"0.63541666666667","11916","0.48402777777778","71.66","High"
"12:17","12819","8:08","70.73","High"
"0.55416666666667","12424","8:25","71:14:00","High"
"0.51805555555556","13563","8:47","71:01:00","High"
"11:07","12269","7:44","70:08:00","Normal"
"12:01","12945","7:02","71:52:00","High"
"11:38","11768","0.29930555555556","68:35:00","Normal"
"0.50208333333333","11760","8:47","72:01:00","High"
"13:16","15716","10:13","73:41:00","High"
"0.56805555555556","14122","10:18","70:12:00","High"
"12:57","11879","8:18","71:11:00","High"
"13:26","14393","0.37986111111111","70:46:00","High"
"0.60486111111111","14711","0.39722222222222","65:31:00","High"
"12:59","11938","0.31111111111111","62:39:00","Normal"
"0.56111111111111","11950","7:34","67:36:00","Normal"
"13:17","18034","11:15","73:36:00","Very-High"
"14:13","15439","10:26","72:18:00","High"
"13:07","18520","11:17","73:01:00","Very-High"
"0.54375","12587","0.38958333333333","68.99","High"
"13:34","23888","0.50277777777778","74:02:00","Very-High"
"0.60833333333333","17733","0.50486111111111","74:54:00","Very-High"
"13:26","17365","11:39","74:19:00","Very-High"
"0.55625","20801","0.47083333333333","73.69","Very-High"
"0.54444444444444","18762","0.47291666666667","73:35:00","Very-High"
"0.54236111111111","10934","0.37569444444444","73:23:00","High"
"12:49","10410","8:31","71:36:00","High"
"12:24","8850","7:01","71:21:00","Normal"
"12","8052","7:19","70:32:00","Normal"
"12:07","10307","9:07","73.72","High"
"12:03","7961","7:53","71:59:00","Normal"
"12:54","7829","7:48","69.67","Normal"
"14:02","9259","7:09","72:02:00","High"
"12:23","9409","7:08","73.78","Normal"
"12:27","10368","7:01","72:18:00","Normal"
"12:23","9591","7:31","70:46:00","Normal"
"0.56805555555556","10262","8:52","72.62","High"
"12:26","9810","6:52","71.84","Normal"
"0.50763888888889","10854","7:11","72:58:00","Normal"
"12:12","11669","8:01","71:18:00","High"
"12:01","11522","0.34583333333333","72:33:00","High"
"13:01","11341","9:03","73.81","High"
"0.51944444444444","8546","8:02","72:52:00","Normal"
"12:08","9065","0.35069444444444","71:06:00","Normal"
"13:42","11716","10:53","73.82","High"
"13:58","10942","0.43125","72:58:00","High"
"14:21","16996","0.48541666666667","74:46:00","Very-High"
"13:13","11810","10:12","72:44:00","High"
"14:01","15903","11:31","75:19:00","Very-High"
"0.60625","15420","11:46","74.62","Very-High"
"0.59791666666667","12019","11:08","74:21:00","High"
"13:46","10213","9:52","72:34:00","High"
"13:24","10476","0.38680555555556","71:19:00","High"
"0.55347222222222","11034","0.34375","74:47:00","High"
"0.54375","10534","7:09","73:09:00","High"
"13:03","11546","0.33541666666667","73:08:00","High"
"12","10032","7:25","73:21:00","Normal"
"0.50208333333333","9407","0.30208333333333","74:28:00","Normal"
"13:35","9028","7:55","73:55:00","High"
"13:51","10275","8:21","74.87","High"
"0.51111111111111","10760","0.30694444444444","71.94","Normal"
"12:55","9440","0.34652777777778","73.88","High"
"12:57","13031","0.35069444444444","76:03:00","High"
"13:39","12017","0.38958333333333","76.86","High"
"0.6","11428","9:35","77.73","High"
"12:05","9429","7:34","76:28:00","High"
"0.58958333333333","11509","8:57","77:55:00","High"
"0.55833333333333","12679","0.3375","75.79","High"
"12:44","10294","7:11","74.84","High"
"12:35","9669","0.31875","74:51:00","Normal"
"12:12","10519","7:03","74.61","High"
"0.56527777777778","10506","7:48","76:27:00","High"
"13:24","11272","0.38611111111111","76.68","High"
"0.55277777777778","10536","0.34652777777778","75.91","High"
"13:32","10248","0.35138888888889","75:46:00","High"
"0.56805555555556","12070","8:03","75.79","High"
"12:32","9408","7:25","75.64","Normal"
"0.56666666666667","11608","7:46","74:48:00","High"
"12:13","9524","0.31111111111111","74.74","Normal"
"12:42","10409","7:17","73.74","High"
"0.525","8573","6:45","73:53:00","Normal"
"0.56180555555556","9700","0.31875","71.72","Normal"
"12:05","10152","6:22","69:54:00","Normal"
"14:15","12349","0.45972222222222","76.93","High"
"0.64444444444444","14911","10:09","77:32:00","Very-High"
"15:42","15843","0.4625","77:55:00","Very-High"
"15:53","15425","0.47083333333333","77:51:00","Very-High"
"0.55902777777778","12598","9:18","74:44:00","High"
"13:07","13143","0.38402777777778","74:54:00","High"
"0.66944444444444","14111","0.41944444444444","75:04:00","Very-High"
"14:27","10069","9:02","75:27:00","High"
"15:38","15545","9:57","73.89","Very-High"
"0.56805555555556","9505","7:03","74:19:00","High"
"0.71805555555556","16060","0.48055555555556","74.92","Very-High"
"17:06","18801","0.50833333333333","74.76","Very-High"
"13:36","11707","0.35277777777778","71:38:00","High"
"0.54513888888889","8887","0.33402777777778","72:07:00","Normal"
"0.59305555555556","9851","7:55","72.85","High"
"12:47","9743","7:56","73.86","High"
"13:32","10807","8:34","74:16:00","High"
"0.54375","10757","7:05","73.61","High"
"13:44","11127","8:08","72.65","High"
"13:24","10163","7:43","72.61","High"
"0.51944444444444","9203","0.29652777777778","70:21:00","Normal"
"13:43","9410","6:49","69:28:00","Normal"
"13:01","12217","7:42","70.72","High"
"13:29","10690","0.27361111111111","66.89","Normal"
"13:16","9996","0.29305555555556","69:24:00","Normal"
"12:36","10969","6:12","67:36:00","Normal"
"12:58","10297","7:41","70:25:00","Normal"
"0.64861111111111","14578","0.46666666666667","74:06:00","Very-High"
"0.56597222222222","12844","0.37777777777778","72:59:00","High"
"13:57","11394","8:55","72:49:00","High"
"0.56041666666667","12172","0.34583333333333","71:06:00","High"
"13:17","11658","0.34861111111111","71:05:00","High"
"14:04","11833","8:36","72.65","High"
"0.55763888888889","11459","7:26","72:41:00","High"
"0.54722222222222","10221","7:38","71.72","Normal"
"12:22","10380","7:18","71:56:00","Normal"
"0.59513888888889","11510","8:04","72:49:00","High"
"0.59513888888889","13280","9:56","72.67","High"
"0.50902777777778","8673","0.275","70:22:00","Normal"
"12:38","8790","0.22638888888889","68:07:00","Normal"
"0.58680555555556","8804","6:07","67.67","Normal"
"13:33","9000","0.27222222222222","71:56:00","Normal"
"15:27","12359","10:15","74:04:00","High"
"14:33","13816","10:35","73.86","High"
"0.67708333333333","16663","10:41","73:36:00","Very-High"
"13:06","12245","0.39930555555556","70:35:00","High"
"0.58541666666667","13354","9:33","71:06:00","High"
"14:01","13610","10:47","73:39:00","High"
"14:41","16095","11:37","72.83","Very-High"
"0.63958333333333","17862","10:05","74:18:00","Very-High"
"14:16","12887","9:31","72.65","High"
"13:02","12033","0.39791666666667","70:02:00","High"
"13:49","8635","7:11","64.79","Normal"
"0.52638888888889","8724","6:41","67:33:00","Normal"
"0.55833333333333","12273","0.37569444444444","69.93","High"
